l1_ratio,window_end,alpha,r2,dir_acc,nonzero_per_stock
0.5,2004-01-08,1e-05,-0.283783625805873,0.49463930348258706,73.95
0.5,2004-01-08,3.1622776601683795e-05,-0.1512116838784563,0.4929601990049751,37.01
0.5,2004-01-08,0.0001,-0.04541103743564884,0.499365671641791,6.61
0.5,2004-01-08,0.00031622776601683794,-0.006248837510962724,0.4985323383084577,0.42
0.5,2004-01-08,0.001,-0.00404402026883155,0.4937064676616916,0.02
0.5,2004-01-08,0.0031622776601683794,-0.0046629313540620665,0.4930099502487562,0.0
0.5,2004-01-08,0.01,-0.0046629313540620665,0.4930099502487562,0.0
0.5,2007-06-05,1e-06,-0.3606085192456556,0.5047636815920398,91.39
0.5,2007-06-05,3.162277660168379e-06,-0.26103908300238343,0.5040298507462686,73.56
0.5,2007-06-05,1e-05,-0.13043750036345342,0.5016417910447761,35.42
0.5,2007-06-05,3.1622776601683795e-05,-0.0375013536306279,0.5016666666666666,5.05
0.5,2007-06-05,0.0001,-0.004035182904961104,0.5079975124378109,0.1
0.5,2007-06-05,0.00031622776601683794,0.0004686569113947492,0.509589552238806,0.0
0.5,2007-06-05,0.001,0.0006183665993771403,0.5096517412935323,0.0
0.5,2007-06-05,0.0031622776601683794,0.0006183665993771403,0.5096517412935323,0.0
0.5,2007-06-05,0.01,0.0006183665993771403,0.5096517412935323,0.0
0.5,2010-10-22,1e-06,-0.36455467087932175,0.5071890547263682,96.81
0.5,2010-10-22,3.162277660168379e-06,-0.26730168551313527,0.5080223880597016,90.43
0.5,2010-10-22,1e-05,-0.1354134638273194,0.5108955223880597,71.83
0.5,2010-10-22,3.1622776601683795e-05,-0.04070296741569451,0.5125621890547264,36.16
0.5,2010-10-22,0.0001,-0.004520432032601218,0.5090174129353234,8.55
0.5,2010-10-22,0.00031622776601683794,-0.0013530374553737956,0.4980721393034826,0.68
0.5,2010-10-22,0.001,-0.002879328695993888,0.4950746268656716,0.01
0.5,2010-10-22,0.0031622776601683794,-0.002882029387742957,0.4943034825870647,0.0
0.5,2010-10-22,0.01,-0.002882029387742957,0.4943034825870647,0.0
0.5,2014-03-19,1e-06,-0.39508862292825736,0.48713930348258705,91.29
0.5,2014-03-19,3.162277660168379e-06,-0.2783727268082896,0.48896766169154227,73.67
0.5,2014-03-19,1e-05,-0.1252203717242496,0.4936940298507463,35.56
0.5,2014-03-19,3.1622776601683795e-05,-0.026397807360640235,0.5033208955223881,6.06
0.5,2014-03-19,0.0001,-0.0014736068418121917,0.5116915422885573,0.17
0.5,2014-03-19,0.00031622776601683794,-0.00044084441612007863,0.5113557213930349,0.0
0.5,2014-03-19,0.001,-0.00044097036319440397,0.5113557213930349,0.0
0.5,2014-03-19,0.0031622776601683794,-0.00044097036319440397,0.5113557213930349,0.0
0.5,2014-03-19,0.01,-0.00044097036319440397,0.5113557213930349,0.0
0.5,2017-08-08,1e-06,-0.32899185444909673,0.49151741293532336,89.39
0.5,2017-08-08,3.162277660168379e-06,-0.2152009785903718,0.4925870646766169,68.82
0.5,2017-08-08,1e-05,-0.08836396223427634,0.4950870646766169,30.07
0.5,2017-08-08,3.1622776601683795e-05,-0.017169468139943744,0.5046144278606965,4.63
0.5,2017-08-08,0.0001,-0.002161111008762956,0.5117786069651742,0.19
0.5,2017-08-08,0.00031622776601683794,-0.0012845729381527338,0.5120273631840796,0.0
0.5,2017-08-08,0.001,-0.001287839437478011,0.5120273631840796,0.0
0.5,2017-08-08,0.0031622776601683794,-0.001287839437478011,0.5120273631840796,0.0
0.5,2017-08-08,0.01,-0.001287839437478011,0.5120273631840796,0.0
0.5,2020-12-30,1e-06,-0.36142068217976436,0.4996766169154229,95.17
0.5,2020-12-30,3.162277660168379e-06,-0.2273914735999077,0.49937810945273636,85.5
0.5,2020-12-30,1e-05,-0.08658828857623599,0.502002487562189,60.39
0.5,2020-12-30,3.1622776601683795e-05,-0.017465047955609825,0.5115422885572138,26.19
0.5,2020-12-30,0.0001,-0.003922018222967449,0.5130099502487563,6.1
0.5,2020-12-30,0.00031622776601683794,-0.0017771164861059563,0.5130348258706467,0.06
0.5,2020-12-30,0.001,-0.001800761928335115,0.5128855721393035,0.0
0.5,2020-12-30,0.0031622776601683794,-0.001800761928335115,0.5128855721393035,0.0
0.5,2020-12-30,0.01,-0.001800761928335115,0.5128855721393035,0.0
